STD_ID,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),Образование,Дата выдачи,Что именно закончил
117204,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2014-06-20 00:00:00,"МСОШ (полная) N 4, МАЛАЯ ВИШЕРА"
117178,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2014-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
114386,М,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2014-06-20 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
118611,Ж,ВЫП,2019-06-30,ДОГ,З,38.03.01,Экономика,СР,2009-06-20 00:00:00,"МСОШ (полная) , ПОДДОРЬЕ"
141781,Ж,ВЫП,2019-08-31,БП,Д,38.03.02,Менеджмент,СР,2015-06-26 00:00:00,"ГИМНАЗИЯ N   3, НОВГОРОД"
151278,Ж,ВЫП,2019-08-31,БП,Д,38.03.02,Менеджмент,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   7, БОРОВИЧИ"
141845,М,ВЫП,2019-08-31,БП,Д,09.03.01,Информатика и вычислительная техника,СР,2015-06-26 00:00:00,"ГИМНАЗИЯ ""ЭВРИКА"""
141848,М,ВЫП,2019-08-31,БП,Д,09.03.01,Информатика и вычислительная техника,СР,2015-06-23 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
141996,М,ВЫП,2019-08-31,БП,Д,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
140122,М,ВЫП,2019-08-31,БП,Д,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, КРЕСТЦЫ"
151155,Ж,ВЫП,2019-08-31,ДОГ,Д,45.03.02,Лингвистика,СР,2015-06-27 00:00:00,"ГИМНАЗИЯ N   1, НОВГОРОД"
142245,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,СР,2015-07-02 00:00:00,"ГИМНАЗИЯ, БОРОВИЧИ"
142246,М,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,СР,2015-06-25 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
142258,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,СР,2015-06-26 00:00:00,"МОСШ N   1 ИМЕНИ АВЕРИНА, ВАЛДАЙ"
142819,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,СР,2015-06-23 00:00:00,"МСОШ (полная) , Бурга МАЛОВИШЕРСКИЙ р-н"
142259,Ж,ВЫП,2019-08-31,БП,Д,45.03.02,Лингвистика,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
141754,Ж,ВЫП,2019-08-31,БП,Д,38.03.03,Управление персоналом,СР,2015-06-25 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142736,Ж,ВЫП,2019-08-31,БП,Д,35.03.04,Агрономия,СР,2015-06-26 00:00:00,"СОШ , МАРЕВО"
141887,М,ВЫП,2019-08-31,БП,Д,35.03.04,Агрономия,СР,2015-06-26 00:00:00,"МСОШ N 5 с углубл. изучением химии и биологии, СТАРАЯ РУССА"
141907,Ж,ВЫП,2019-08-31,БП,Д,06.03.01,Биология,СР,2015-06-20 00:00:00,"МОУ СОШ N   6, ПЕСТОВО"
141912,Ж,ВЫП,2019-08-31,БП,Д,06.03.01,Биология,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
141892,Ж,ВЫП,2019-08-31,БП,Д,35.03.01,Лесное дело,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
141938,Ж,СТ,,БП,Д,04.05.01,Фундаментальная и прикладная химия,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
141745,Ж,ВЫП,2019-08-31,БП,Д,38.03.01,Экономика,СР,25.06.0215,"ГИМНАЗИЯ N  4, НОВГОРОД"
141747,Ж,ВЫП,2019-08-31,БП,Д,38.03.01,Экономика,СР,2015-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N  23, НОВГОРОД"
141750,М,ВЫП,2019-06-30,БП,Д,38.03.01,Экономика,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
142696,Ж,ВЫП,2019-08-31,БП,Д,38.03.01,Экономика,СР,2015-06-25 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
141744,Ж,ВЫП,2019-08-31,БП,Д,38.03.01,Экономика,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  31, НОВГОРОД"
141748,М,ВЫП,2019-08-31,БП,Д,38.03.01,Экономика,СР,2015-06-26 00:00:00,"МОСШ N   4, с.Яжелбицы ВАЛДАЙСКИЙ р-н"
151250,Ж,ВЫП,2019-06-30,ДОГ,Д,38.03.01,Экономика,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
151269,Ж,ВЫП,2019-06-30,ДОГ,Д,38.03.01,Экономика,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  31, НОВГОРОД"
151317,Ж,СТ,,ДОГ,Д,33.05.01,Фармация,СР,2015-07-02 00:00:00,"МОСШ N   1 ИМЕНИ АВЕРИНА, ВАЛДАЙ"
142801,Ж,СТ,,БП,Д,33.05.01,Фармация,СР,2015-06-19 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142316,Ж,СТ,,БП,Д,33.05.01,Фармация,СР,2015-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142311,Ж,СТ,,БП,Д,33.05.01,Фармация,СР,2015-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N  26, НОВГОРОД"
142712,М,ВЫП,2019-08-31,БП,Д,11.03.01,Радиотехника,СР,2015-07-03 00:00:00,"СОШ , МАРЕВО"
141829,М,ВЫП,2019-06-30,БП,Д,11.03.01,Радиотехника,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  21, НОВГОРОД"
151345,М,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2014-06-27 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142170,Ж,СТ,,БП,Д,31.05.03,Стоматология,СР,2015-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
151364,М,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2015-06-18 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
151380,М,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2015-06-25 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
151440,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2015-06-28 00:00:00,"СРЕДНЯЯ ШКОЛА N  22, НОВГОРОД"
151442,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СП,2015-06-30 00:00:00,ТЕХНИКУМ ДРУГОЙ
151478,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
142191,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2015-06-26 00:00:00,"ГИМНАЗИЯ ""ЭВРИКА"""
140037,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2013-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
88312,М,ВЫП,2019-08-31,ДОГ,Д,31.05.03,Стоматология,СР,2011-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
141869,Ж,ВЫП,2019-08-31,БП,Д,36.03.02,Зоотехния,СР,2015-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
139074,М,ВЫП,2019-06-30,БП,З,35.03.04,Агрономия,СП,2015-01-30 00:00:00,"ГОУ НПО ""Агролицей №25"" , СТАРАЯ РУССА"
141771,Ж,ВЫП,2019-08-31,БП,Д,38.03.02,Менеджмент,СР,2015-06-26 00:00:00,"МОСШ N   1 ИМЕНИ АВЕРИНА, ВАЛДАЙ"
149593,Ж,ВЫП,2019-06-30,ДОГ,З,38.03.01,Экономика,ОСН,2008-06-16 00:00:00,"МОУ СОШ , Федорково ПАРФИНСКИЙ р-н"
149593,Ж,ВЫП,2019-06-30,ДОГ,З,38.03.01,Экономика,СП,2012-06-27 00:00:00,Политехнический колледж НовГУ
139056,М,ВЫП,2019-06-30,БП,З,35.03.01,Лесное дело,СР,2013-06-24 00:00:00,"МОУ СОШ N   1, СОЛЬЦЫ с филиалом в Куклино"
79198,М,СТ,,ДОГ,З,38.03.01,Экономика,СР,2003-07-01 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
162064,М,СТ,,БП,Д,09.03.01,Информатика и вычислительная техника,ОО,2012-06-22 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
162064,М,СТ,,БП,Д,09.03.01,Информатика и вычислительная техника,СП,2016-06-28 00:00:00,Политехнический колледж НовГУ
162058,М,СТ,,БП,Д,09.03.01,Информатика и вычислительная техника,СР,2016-07-23 00:00:00,"СРЕДНЯЯ ШКОЛА N   9, НОВГОРОД"
141957,М,ВЫП,2019-08-31,БП,Д,08.03.01,Строительство,СР,2015-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
162128,М,СТ,,БП,Д,05.03.06,Экология и природопользование,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  11, БОРОВИЧИ"
161020,М,СТ,,БП,Д,35.03.06,Агроинженерия,СР,2016-06-24 00:00:00,"МОУ СОШ , ПАРФИНО"
162975,М,СТ,,БП,Д,04.05.01,Фундаментальная и прикладная химия,СР,2015-07-02 00:00:00,"ГИМНАЗИЯ ""КВАНТ"""
161113,М,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
161112,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  25, НОВГОРОД"
162435,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-27 00:00:00,"ГИМНАЗИЯ, БОРОВИЧИ"
164721,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162436,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-24 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
163243,Ж,СТ,,БП,З,35.03.06,Агроинженерия,СП,2000-06-29 00:00:00,ТЕХНИКУМ ДРУГОЙ
170352,М,ВЫП,2019-06-30,ДОГ,З,08.03.01,Строительство,СП,2015-07-01 00:00:00,ТЕХНИКУМ ДРУГОЙ
164728,Ж,СТ,,ДОГ,З,42.03.02,Журналистика,СР,2016-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
164730,Ж,СТ,,ДОГ,Д,42.03.02,Журналистика,СР,2016-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
170702,Ж,СТ,,ДОГ,З,42.03.02,Журналистика,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
162447,Ж,СТ,,БП,Д,42.03.02,Журналистика,СР,2015-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164596,М,СТ,,ДОГ,Д,38.03.02,Менеджмент,СР,2016-06-17 00:00:00,"МСОШ Нагово, СТАРОРУССКИЙ р-н"
162910,Ж,СТ,,БП,Д,38.03.02,Менеджмент,СР,2016-06-25 00:00:00,"МСОШ Боровенка, ОКУЛОВСКИЙ р-н"
161066,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА N  10, НОВГОРОД"
161107,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162378,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-25 00:00:00,"МСОШ N   1 имени Денисова, ХВОЙНАЯ"
164770,М,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-25 00:00:00,"МОУ СОШ N   2, СОЛЬЦЫ"
161050,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2916-06-24 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
161969,Ж,СТ,,БП,Д,38.03.01,Экономика,СР,2016-06-21 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164580,Ж,СТ,,ДОГ,Д,38.03.01,Экономика,СР,2016-06-25 00:00:00,"МСОШ Угловка, ОКУЛОВСКИЙ р-н"
165263,Ж,СТ,,ДОГ,Д,38.03.01,Экономика,СР,2016-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  18, НОВГОРОД"
164590,Ж,СТ,,ДОГ,Д,38.03.01,Экономика,СР,2016-06-23 00:00:00,"СРЕДНЯЯ ШКОЛА N  13, НОВГОРОД"
164586,Ж,СТ,,ДОГ,Д,38.03.01,Экономика,СР,2016-06-24 00:00:00,"Гимназия ""ГАРМОНИЯ"""
91593,Ж,СТ,,ДОГ,З,36.03.02,Зоотехния,СР,2012-06-24 00:00:00,"ГИМНАЗИЯ N  4, НОВГОРОД"
161954,Ж,СТ,,ДОГ,З,36.03.02,Зоотехния,СП,2016-06-23 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
161043,Ж,СТ,,БП,Д,33.05.01,Фармация,СР,2016-06-25 00:00:00,"МСОШ N 3, ОКУЛОВКА"
164844,М,СТ,,ДОГ,Д,33.05.01,Фармация,СР,2016-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
164863,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
163029,Ж,СТ,,БП,Д,31.05.03,Стоматология,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА , ДЕМЯНСК"
162362,Ж,СТ,,БП,Д,31.05.03,Стоматология,СР,2016-06-24 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
165323,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
161990,Ж,СТ,,БП,Д,38.03.02,Менеджмент,СР,2016-06-24 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
170407,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СР,2014-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N  23, НОВГОРОД"
170397,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СП,2005-06-23 00:00:00,Аграрный техникум г.Новгород
170399,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СП,2003-06-26 00:00:00,Аграрный техникум г.Новгород
170401,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СП,2016-06-24 00:00:00,ПРОФЕССИОНАЛЬНЫЙ ЛИЦЕЙ 20 Г.СТАРАЯ РУССА
170408,Ж,СТ,,ДОГ,З,38.03.01,Экономика,,,
170410,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СП,2016-06-24 00:00:00,ГУМАНИТАРНО-ЭКОНОМИЧЕСКИЙ КОЛЛЕДЖ НОВГУ
170410,Ж,СТ,,ДОГ,З,38.03.01,Экономика,ОО,2012-06-22 00:00:00,"СРЕДНЯЯ ШКОЛА N  34, НОВГОРОД"
161974,Ж,СТ,,БП,Д,38.03.01,Экономика,СР,2016-06-24 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
162386,М,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-23 00:00:00,"ГИМНАЗИЯ N   3, НОВГОРОД"
161109,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162373,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-25 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
164812,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-24 00:00:00,"СРЕДНЯЯ ШКОЛА , ДЕМЯНСК"
161069,Ж,СТ,,БП,Д,31.05.01,Лечебное дело,СР,2016-06-23 00:00:00,"ГИМНАЗИЯ N   3, НОВГОРОД"
172017,Ж,ВЫП,2020-01-31,ДОГ,З,38.03.01,Экономика,ОО,2013-06-20 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
172017,Ж,ВЫП,2020-01-31,ДОГ,З,38.03.01,Экономика,СР,2015-06-26 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
172060,Ж,ВЫП,2020-01-31,ДОГ,З,38.03.01,Экономика,ОО,2012-06-18 00:00:00,"Гимназия ""ГАРМОНИЯ"""
172059,Ж,ВЫП,2020-01-31,ДОГ,З,38.03.01,Экономика,ОО,2012-06-20 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
182331,М,СТ,,ДОГ,З,08.03.01,Строительство,СП,2017-06-30 00:00:00,"КОЛЛЕДЖ СТРОИТЕЛЬСТВА, ПРЕДПРИНИМАТЕЛЬСТВА И ПРАВА г.В.Новгород"
175775,М,СТ,,БП,Д,11.03.01,Радиотехника,СР,2017-06-30 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
175770,М,СТ,,БП,Д,11.03.01,Радиотехника,СР,2017-06-29 00:00:00,"МСОШ Угловка, ОКУЛОВСКИЙ р-н"
175799,М,СТ,,БП,Д,09.03.01,Информатика и вычислительная техника,СР,2017-07-01 00:00:00,"СРЕДНЯЯ ШКОЛА N  23, НОВГОРОД"
175875,Ж,СТ,,БП,Д,06.03.01,Биология,СР,2017-06-30 00:00:00,Подберезская СОШ  НОВГОРОДСКИЙ р-н
175876,Ж,СТ,,БП,Д,06.03.01,Биология,СР,2017-06-30 00:00:00,Сырковская СОШ  НОВГОРОДСКИЙ р-н
175848,М,СТ,,БП,Д,35.03.04,Агрономия,СР,2017-06-30 00:00:00,"СРЕДНЯЯ ШКОЛА N   2, НОВГОРОД"
175728,Ж,СТ,,БП,Д,21.03.02,Землеустройство и кадастры,СР,2017-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
173629,М,СТ,,БП,Д,35.03.06,Агроинженерия,СП,2016-06-24 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
175834,Ж,СТ,,БП,Д,35.03.06,Агроинженерия,СР,2017-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
175820,Ж,СТ,,БП,Д,36.03.02,Зоотехния,СП,2017-06-23 00:00:00,ТЕХНИКУМ ДРУГОЙ
182351,М,СТ,,ДОГ,З,35.03.04,Агрономия,,,
176191,Ж,СТ,,БП,Д,42.03.02,Журналистика,СР,2017-06-24 00:00:00,"МОУ СОШ N   1, ПЕСТОВО"
176190,Ж,СТ,,БП,Д,42.03.02,Журналистика,СР,2017-06-23 00:00:00,"Гимназия ""ГАРМОНИЯ"""
163269,М,СТ,,БП,З,35.03.01,Лесное дело,ОСН,2010-06-17 00:00:00,"СРЕДНЯЯ ШКОЛА N  14, НОВГОРОД"
163269,М,СТ,,БП,З,35.03.01,Лесное дело,СП,2014-06-26 00:00:00,Политехнический колледж НовГУ
182736,Ж,СТ,,ДОГ,Д,38.03.04,Государственное и муниципальное управление,СП,2016-06-30 00:00:00,ГУНПО технологический профессиональный лицей
178456,Ж,СТ,,ДОГ,Д,45.03.02,Лингвистика,СР,2017-05-29 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
176163,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2017-06-29 00:00:00,"ГИМНАЗИЯ ""НОВОСКУЛ"""
178459,Ж,СТ,,ДОГ,Д,45.03.02,Лингвистика,СР,2017-06-30 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
178467,Ж,СТ,,ДОГ,В,45.03.02,Лингвистика,СР,2017-06-29 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
178476,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СП,2013-06-21 00:00:00,НОВГОРОДСКОЕ УЧИЛИЩЕ ИСКУССТВ ИМ. РАХМАНИНОВА
173615,М,СТ,,БП,Д,38.03.01,Экономика,СР,2017-06-30 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
178218,Ж,СТ,,ДОГ,Д,38.03.01,Экономика,СР,2017-06-30 00:00:00,МОУ СОШ п.Батецкий
178227,М,СТ,,ДОГ,Д,38.03.02,Менеджмент,СР,2017-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
184634,Ж,ВЫП,2020-01-31,ДОГ,З,40.04.01,Юриспруденция,,,
176086,Ж,СТ,,БП,Д,33.05.01,Фармация,СР,2017-06-29 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
151480,М,СТ,,ДОГ,Д,31.05.01,Лечебное дело,СР,2015-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
182274,М,СТ,,ДОГ,З,13.03.01,Теплоэнергетика и теплотехника,НВ,2005-08-01 00:00:00,Тюменский государственный нефтегазовый университет
185054,М,СТ,,ДОГ,З,38.03.01,Экономика,СР,2017-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N  25, НОВГОРОД"
182435,Ж,СТ,,ДОГ,З,38.03.01,Экономика,СР,2014-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
152103,М,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2012-06-23 00:00:00,"МОСШ N   2, ВАЛДАЙ"
176176,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2017-06-30 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
176168,Ж,СТ,,БП,Д,45.03.02,Лингвистика,СР,2016-06-24 00:00:00,"ЛИЦЕЙ-ИНТЕРНАТ , НОВГОРОД"
178303,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2017-06-21 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
178314,М,СТ,,БП,Д,31.05.03,Стоматология,СР,2014-06-21 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
173673,Ж,СТ,,БП,Д,31.05.03,Стоматология,СР,2017-07-01 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
178325,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2017-06-26 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
178340,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,СР,2017-06-23 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
178228,М,СТ,,БП,Д,38.03.02,Менеджмент,СР,2017-07-01 00:00:00,"СРЕДНЯЯ ШКОЛА N   8, НОВГОРОД"
184592,М,ВЫП,2019-08-31,ДОГ,Д,15.04.05,Конструкторско-технологическое обеспечение машиностроительных производств,СР,2013-06-21 00:00:00,"ГИМНАЗИЯ N   2, НОВГОРОД"
68531,М,СТ,,ДОГ,З,08.03.01,Строительство,СП,1998-03-03 00:00:00,НОВГОРОДСКИЙ ГИДРОМЕЛИОРАТИВНЫЙ ТЕХНИКУМ
184587,М,ВЫП,2020-01-31,ДОГ,З,08.04.01,Строительство,СР,2011-06-25 00:00:00,"Гимназия ""ГАРМОНИЯ"""
184579,М,ВЫП,2020-01-31,ДОГ,З,08.04.01,Строительство,СР,2013-06-22 00:00:00,"СРЕДНЯЯ ШКОЛА N   8, НОВГОРОД"
175855,М,СТ,,БП,Д,35.03.01,Лесное дело,СР,2017-06-29 00:00:00,"МОСШ N   2, ВАЛДАЙ"
